id, name, scryfall_uri, released_at, uri, 
89dbe086-4c03-448f-a346-49bc08d02705, Bandage, https://scryfall.com/card/tpr/7/bandage?utm_source=api, 2015-05-06, https://api.scryfall.com/cards/89dbe086-4c03-448f-a346-49bc08d02705, 
5a61aded-0007-48fb-b1d6-1c69a8703400, Court Homunculus, https://scryfall.com/card/mm2/13/court-homunculus?utm_source=api, 2015-05-22, https://api.scryfall.com/cards/5a61aded-0007-48fb-b1d6-1c69a8703400, 
8d96bc2b-2e31-4654-b192-c3f023d9fde6, Akroan Jailer, https://scryfall.com/card/ori/1/akroan-jailer?utm_source=api, 2015-07-17, https://api.scryfall.com/cards/8d96bc2b-2e31-4654-b192-c3f023d9fde6, 
817602f9-0844-4ba2-bd7c-380fcd0c15ff, Caravan Escort, https://scryfall.com/card/ddp/3/caravan-escort?utm_source=api, 2015-08-28, https://api.scryfall.com/cards/817602f9-0844-4ba2-bd7c-380fcd0c15ff, 
8c755ae6-badc-4dc8-bfa6-fdebcb00bfba, Cliffside Lookout, https://scryfall.com/card/bfz/20/cliffside-lookout?utm_source=api, 2015-10-02, https://api.scryfall.com/cards/8c755ae6-badc-4dc8-bfa6-fdebcb00bfba, 
de3d0a45-3b3a-4718-9cb8-ff0c2464d634, Cathedral Sanctifier, https://scryfall.com/card/ddq/3/cathedral-sanctifier?utm_source=api, 2016-02-26, https://api.scryfall.com/cards/de3d0a45-3b3a-4718-9cb8-ff0c2464d634, 
ec2120ff-a6d4-4192-96c0-33c139155ddf, Champion of the Parish, https://scryfall.com/card/ddq/4/champion-of-the-parish?utm_source=api, 2016-02-26, https://api.scryfall.com/cards/ec2120ff-a6d4-4192-96c0-33c139155ddf, 
f70ea481-1751-4097-af41-2d13fe79e788, Chaplain's Blessing, https://scryfall.com/card/soi/10/chaplains-blessing?utm_source=api, 2016-04-08, https://api.scryfall.com/cards/f70ea481-1751-4097-af41-2d13fe79e788, 
241e5c4e-0f0b-4a3f-91e0-87387a11e81e, Benevolent Bodyguard, https://scryfall.com/card/ema/4/benevolent-bodyguard?utm_source=api, 2016-06-10, https://api.scryfall.com/cards/241e5c4e-0f0b-4a3f-91e0-87387a11e81e, 
28a5c350-2ed1-4a25-9626-0f8da5d1aef7, Elite Vanguard, https://scryfall.com/card/ema/8/elite-vanguard?utm_source=api, 2016-06-10, https://api.scryfall.com/cards/28a5c350-2ed1-4a25-9626-0f8da5d1aef7, 
ef3e09a4-93d0-4ed7-bbee-82108672d5f8, Built to Last, https://scryfall.com/card/kld/7/built-to-last?utm_source=api, 2016-09-30, https://api.scryfall.com/cards/ef3e09a4-93d0-4ed7-bbee-82108672d5f8, 
bc10173d-25ff-4734-b8f2-84f94fe52b17, Alley Evasion, https://scryfall.com/card/aer/6/alley-evasion?utm_source=api, 2017-01-20, https://api.scryfall.com/cards/bc10173d-25ff-4734-b8f2-84f94fe52b17, 
90eaf94e-85a7-4958-aa58-8e2fe44db58d, Cartouche of Solidarity, https://scryfall.com/card/akh/7/cartouche-of-solidarity?utm_source=api, 2017-04-28, https://api.scryfall.com/cards/90eaf94e-85a7-4958-aa58-8e2fe44db58d, 
ad60ebb9-4acc-41a8-90d9-04d55e414ed1, Djeru's Resolve, https://scryfall.com/card/akh/11/djerus-resolve?utm_source=api, 2017-04-28, https://api.scryfall.com/cards/ad60ebb9-4acc-41a8-90d9-04d55e414ed1, 
3379dc97-abdf-43d7-8625-f8ac04b5687e, Anointer of Champions, https://scryfall.com/card/e01/3/anointer-of-champions?utm_source=api, 2017-06-16, https://api.scryfall.com/cards/3379dc97-abdf-43d7-8625-f8ac04b5687e, 
e3979b88-ac58-420a-8c03-37ea5d93d0f1, Demystify, https://scryfall.com/card/xln/8/demystify?utm_source=api, 2017-09-29, https://api.scryfall.com/cards/e3979b88-ac58-420a-8c03-37ea5d93d0f1, 
6fe64569-c1b6-4bd4-a742-6ee46ea5181c, Encampment Keeper, https://scryfall.com/card/xln/11/encampment-keeper?utm_source=api, 2017-09-29, https://api.scryfall.com/cards/6fe64569-c1b6-4bd4-a742-6ee46ea5181c, 
baa524bb-0ce7-4c30-93c3-ae15c3b05e92, Duskborne Skymarcher, https://scryfall.com/card/xln/9/duskborne-skymarcher?utm_source=api, 2017-09-29, https://api.scryfall.com/cards/baa524bb-0ce7-4c30-93c3-ae15c3b05e92, 
d016f166-183e-4d9e-9292-9bfb1ca0d72b, Emerge Unscathed, https://scryfall.com/card/ima/19/emerge-unscathed?utm_source=api, 2017-11-17, https://api.scryfall.com/cards/d016f166-183e-4d9e-9292-9bfb1ca0d72b, 
40dd31ae-f252-449b-9d79-749a9a255763, Burrenton Forge-Tender, https://scryfall.com/card/ima/14/burrenton-forge-tender?utm_source=api, 2017-11-17, https://api.scryfall.com/cards/40dd31ae-f252-449b-9d79-749a9a255763, 
b6beac36-e12f-408d-a37b-a70e0e6c52d8, Blazing Hope, https://scryfall.com/card/rix/3/blazing-hope?utm_source=api, 2018-01-19, https://api.scryfall.com/cards/b6beac36-e12f-408d-a37b-a70e0e6c52d8, 
000eded9-854c-408a-aadf-c26209e27432, Charge, https://scryfall.com/card/dom/10/charge?utm_source=api, 2018-04-27, https://api.scryfall.com/cards/000eded9-854c-408a-aadf-c26209e27432, 
a3f82012-5c33-47bc-a3c8-56ae2eea1fb9, Dauntless Bodyguard, https://scryfall.com/card/dom/14/dauntless-bodyguard?utm_source=api, 2018-04-27, https://api.scryfall.com/cards/a3f82012-5c33-47bc-a3c8-56ae2eea1fb9, 
c9045fcb-b633-4c35-8058-6234311551ae, Ajani's Welcome, https://scryfall.com/card/m19/6/ajanis-welcome?utm_source=api, 2018-07-13, https://api.scryfall.com/cards/c9045fcb-b633-4c35-8058-6234311551ae, 
